sample_id	stage	subset	adjustment	rho_linear_resid_spearman	p_linear_resid_spearman	n_linear	rho_rank_partial_spearman	p_rank_partial_spearman	n_rank	n_MAPK_genes	n_panel_genes
GSM7980869_LPTC-2	LPTC	all_spots	epithelial_qc_microenv_spatial_detection	0.06494800208071855	3.36751540129547e-05	4071	-0.06173576548216885	8.095236248816354e-05	4071	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	raw	0.5206253193847785	7.830289876711764e-142	2036	0.5370033439992226	1.8120553485910409e-152	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	epithelial	0.397954619087627	3.1342424736889655e-78	2036	0.42276272994412956	4.5056799668253666e-89	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	qc	0.2016787731206543	3.9595678395993376e-20	2036	0.14238512798304218	1.0917281951972028e-10	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	microenv	0.4291604784471688	5.085089124966631e-92	2036	0.42393486474683145	1.3137367850251188e-89	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	spatial	0.43559385696991276	4.7603958174814645e-95	2036	0.5329048780013411	9.43436317734274e-150	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	detection	0.2221991213646482	3.416078732548584e-24	2036	0.21292377776820978	2.647666971737635e-22	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	epithelial_qc	0.21589197046228217	6.725316931001296e-23	2036	0.14531055252302985	4.4676009530204004e-11	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	epithelial_qc_microenv	0.17891883204503461	4.155420334339461e-16	2036	0.12562028538637818	1.2905848533813375e-08	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	epithelial_qc_microenv_spatial	0.14426312060646618	6.16476629027361e-11	2036	0.1278352509072057	7.105576652932214e-09	2036	9	8
GSM7980869_LPTC-2	LPTC	epithelial_top50	epithelial_qc_microenv_spatial_detection	0.0023248787958244544	0.9165035384137644	2036	-0.02629021831180961	0.23572295988688707	2036	9	8
GSM7980870_LPTC-3	LPTC	all_spots	raw	0.5605264817568307	2.2047968082336428e-275	3336	0.5605264817568308	2.204796808233242e-275	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	epithelial	0.4373792088608615	6.028000030523065e-156	3336	0.43133580872004107	2.9575865931326868e-151	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	qc	0.0741346842886452	1.8177680527407588e-05	3336	0.08802997807160884	3.5350597006240943e-07	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	microenv	0.46748189246852034	8.838591991506546e-181	3336	0.3863282145500915	3.412145027678491e-119	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	spatial	0.5039558094284997	2.0939907806364387e-214	3336	0.504724153702194	3.6968088142919206e-215	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	detection	0.14415328702560876	5.928721686677833e-17	3336	0.2052965355592001	4.472912514684902e-33	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	epithelial_qc	0.0736998655195107	2.0354565856695253e-05	3336	0.08503937603072681	8.70829321462755e-07	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	epithelial_qc_microenv	0.05038917503754833	0.003601098126342135	3336	0.07205300587748305	3.106695053929125e-05	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	epithelial_qc_microenv_spatial	0.05708898471472348	0.0009709666320764262	3336	0.07290596870707222	2.498412069233062e-05	3336	9	8
GSM7980870_LPTC-3	LPTC	all_spots	epithelial_qc_microenv_spatial_detection	-0.002689685742908648	0.8765901425414695	3336	0.05624590289216666	0.0011539981612448333	3336	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	raw	0.45473311635485747	6.701876319026815e-86	1668	0.4926737841808202	1.0345714654028556e-102	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	epithelial	0.5005367906249863	1.81009842642801e-106	1668	0.544288705509454	2.8446266630139167e-129	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	qc	0.08046494118981205	0.00100489756611424	1668	0.08181186044986943	0.0008246268211644076	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	microenv	0.41864285134015955	9.105019390400316e-72	1668	0.3892066898350942	1.879915894472395e-61	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	spatial	0.4018932979054581	9.031872917362284e-66	1668	0.43737211759995415	6.895272650143806e-79	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	detection	0.036418703979566314	0.13707817596140232	1668	0.16443858014788787	1.4100320609736521e-11	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	epithelial_qc	0.08228387901308575	0.0007688985243297982	1668	0.08555812377461225	0.00046860500724732414	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	epithelial_qc_microenv	0.0654446633077271	0.007501984984945862	1668	0.08068692043595625	0.000972875946451428	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	epithelial_qc_microenv_spatial	0.08452582364802605	0.0005488045697297689	1668	0.08289418927188236	0.0007020175180712711	1668	9	8
GSM7980870_LPTC-3	LPTC	epithelial_top50	epithelial_qc_microenv_spatial_detection	-0.056541857915040176	0.020924098453671963	1668	0.03325997689804588	0.17454835586902348	1668	9	8
GSM7980871_LPTC-4	LPTC	all_spots	raw	0.44208419397369747	1.7699638239118592e-224	4707	0.4420841939736974	1.7699638239120416e-224	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	epithelial	0.3474659083981348	1.171359593090903e-133	4707	0.3555508097129298	2.709547431576892e-140	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	qc	0.11725047222455094	7.030794726006246e-16	4707	0.1460972772483722	7.13926695372859e-24	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	microenv	0.2565596674189073	1.2300493098874703e-71	4707	0.23590814138922653	1.544616305851814e-60	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	spatial	0.3844918267341106	1.092568260754458e-165	4707	0.4525134938954444	2.093297494551455e-236	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	detection	0.1437126296788337	3.8184188764965916e-23	4707	0.09393561446056152	1.0661202133102757e-10	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	epithelial_qc	0.10850938913221042	8.352870182048704e-14	4707	0.13256636523922674	6.664189389703993e-20	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	epithelial_qc_microenv	0.056068858153794775	0.00011871983423184447	4707	0.10722449060659624	1.6344605413865e-13	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	epithelial_qc_microenv_spatial	0.07088543573019097	1.1267011445285387e-06	4707	0.12123968923601527	7.028162711653807e-17	4707	9	8
GSM7980871_LPTC-4	LPTC	all_spots	epithelial_qc_microenv_spatial_detection	0.006032235141477658	0.6790565463697312	4707	0.013105118869747204	0.3687004478142572	4707	9	8
GSM7980871_LPTC-4	LPTC	epithelial_top50	raw	0.16419999660476747	1.0844685939907541e-15	2354	0.1900497074076992	1.3935283158585304e-20	2354	9	8
GSM7980871_LPTC-4	LPTC	epithelial_top50	epithelial	0.20447770069784532	1.2243872576234515e-23	2354	0.2219124179078994	1.1888623859435511e-27	2354	9	8
GSM7980871_LPTC-4	LPTC	epithelial_top50	qc	0.01183522768943369	0.5660103444639404	2354	0.09658953819090065	2.668334341069506e-06	2354	9	8
