	subB_score	subB_GMM	subB_otsu_call
GSM6591002	-1.021165253390488	0	0
GSM6591003	1.4977464856141092	1	1
GSM6591004	-0.8131607380395818	0	0
GSM6591005	0.19797623141153592	0	1
GSM6591006	0.5901097076990394	1	1
GSM6591007	0.931956163687161	1	1
GSM6591008	0.5725591757203183	1	1
GSM6591009	-1.5454848245645898	0	0
GSM6591010	-0.9477443848764677	0	0
GSM6591011	0.3841364380262214	1	1
GSM6591012	0.7253283930049285	1	1
GSM6591013	-0.7363202539104085	0	0
GSM6591014	0.2924885430609483	0	1
GSM6591015	-1.355826875794349	0	0
GSM6591016	-0.8753558494250284	0	0
GSM6591017	-1.0955298223453038	0	0
GSM6591018	-1.2543167621433278	0	0
GSM6591019	-1.1594375968883348	0	0
GSM6591020	0.38816943326441844	1	1
GSM6591021	-0.7412787590087355	0	0
GSM6591022	-1.2775545554728178	0	0
GSM6591023	-0.7131584423530203	0	0
GSM6591024	-1.442806048920097	0	0
GSM6591025	1.3759954159271555	1	1
GSM6591026	-0.5963150736632956	0	0
GSM6591027	-0.7012669623862969	0	0
GSM6591028	-1.5926421935026758	0	0
GSM6591029	0.9162992962601757	1	1
GSM6591030	1.6341242108188085	1	1
GSM6591031	-0.3219760476229699	0	0
GSM6591032	-0.6786749915273498	0	0
GSM6591033	-1.1804276736843144	0	0
GSM6591034	-0.9956923559616355	0	0
GSM6591035	-0.9723302658360551	0	0
GSM6591036	-2.2979073096789184	0	0
GSM6591037	-1.3160174816179304	0	0
GSM6591038	0.4580395614297559	1	1
GSM6591039	-0.7222311572186875	0	0
GSM6591040	-0.36909016103187975	0	0
GSM6591041	-1.3881799592448676	0	0
GSM6591042	0.4023850057961609	1	1
GSM6591043	-0.9788415992546138	0	0
GSM6591044	-0.6076949223803068	0	0
GSM6591045	-1.3744569731815819	0	0
GSM6591046	-1.0730567792088648	0	0
GSM6591047	-0.43966108875315557	0	0
GSM6591048	-1.6444517212220953	0	0
GSM6591049	-1.3127985078364375	0	0
GSM6591050	-1.2841180114775907	0	0
GSM6591051	-0.6537876233392194	0	0
GSM6591052	-1.165949200226749	0	0
GSM6591053	-1.2964028694147973	0	0
GSM6591054	-1.135962041541001	0	0
GSM6591055	-0.5607084222381871	0	0
GSM6591056	-1.3228974799237654	0	0
GSM6591057	-1.2895370295695419	0	0
GSM6591058	-0.290926965215504	0	0
GSM6591059	-1.3234639118549847	0	0
GSM6591060	-0.7836201682674118	0	0
GSM6591061	-1.319730653417455	0	0
GSM6591062	-1.1661252906339166	0	0
GSM6591063	-0.8445993862394456	0	0
GSM6591064	-0.6384930033115623	0	0
GSM6591065	-0.8537325890225176	0	0
GSM6591066	-1.1072668824340792	0	0
GSM6591067	-0.8640053341126107	0	0
GSM6591068	-1.6337590125312154	0	0
GSM6591069	0.13008235294559942	0	1
GSM6591070	-0.5745249448227677	0	0
GSM6591071	-0.48667540367812495	0	0
GSM6591072	-0.4142811712542249	0	0
GSM6591073	-0.8140747366656852	0	0
GSM6591074	-0.5182832359633099	0	0
GSM6591075	-0.2952012295281894	0	0
GSM6591076	-0.7279382481611283	0	0
GSM6591077	-1.4317448817943412	0	0
GSM6591078	-0.18281369867385888	0	0
GSM6591079	-1.557748198161635	0	0
GSM6591080	-0.6258376979261573	0	0
GSM6591081	-1.3226985432507112	0	0
GSM6591082	-1.2567439676482355	0	0
GSM6591083	-0.09278382473494368	0	0
GSM6591084	-1.1254816544931563	0	0
GSM6591085	-0.6970433540610409	0	0
GSM6591086	0.040391820107681636	0	1
GSM6591087	-1.2147344681631085	0	0
GSM6591088	-0.25178217848960927	0	0
GSM6591089	-1.0061261453402195	0	0
GSM6591090	-0.3385316330760022	0	0
GSM6591091	-0.6894004841125936	0	0
GSM6591092	-0.6551493990725503	0	0
GSM6591093	0.2085885263433206	0	1
GSM6591094	1.0206505138177941	1	1
