	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group
F17_133C|PTC	0.006907142	0.9335393	0.9570764	0.974543	0.8243995	0.7315496	0.006907142	PTC
F18_127N|PTC	0.006907142	1.5090699	2.8248843	1.49956	1.170912	1.7649042	0.006907142	PTC
F18_128C|PTC	0.006907142	0.6668912	0.5696265	1.6309619	1.128877	1.0336469	0.006907142	PTC
F18_129N|PTC	0.006907142	1.5306286	1.6550157	1.8939944	1.157715	1.1851979	0.006907142	PTC
F18_131N|PTC	0.006907142	1.1188754	2.2927194	1.8001462	0.9712078	1.4926875	0.006907142	PTC
F18_131C|PTC	0.006907142	0.5526216	0.3866974	1.212365	1.033471	1.1733073	0.006907142	PTC
F18_132N|PTC	0.006907142	0.8182682	1.4988756	2.0844917	1.180821	1.8973543	0.006907142	PTC
F18_132C|PTC	0.006907142	0.8582707	1.5923709	1.375868	1.098917	1.3335723	0.006907142	PTC
F18_133C|PTC	0.006907142	1.4120312	0.809201	1.2235054	0.951467	1.5071686	0.006907142	PTC
F19_127C|PTC	0.006907142	0.6442747	0.7348956	1.1680332	1.062339	0.873508	0.006907142	PTC
